,Original_img,Transformed_img
0,24722.jpg,24722_4814_bald.jpg
1,19702.jpg,19702_21895_bald.jpg
2,14800.jpg,14800_27772_bald.jpg
3,16421.jpg,16421_19884_bald.jpg
4,22526.jpg,22526_26581_bald.jpg
5,12750.jpg,12750_17755_bald.jpg
6,6668.jpg,6668_4390_bald.jpg
7,13093.jpg,13093_25566_bald.jpg
8,19751.jpg,19751_14316_bald.jpg
9,23037.jpg,23037_8979_bald.jpg
10,25493.jpg,25493_23620_bald.jpg
11,12798.jpg,12798_3989_bald.jpg
12,7163.jpg,7163_174_bald.jpg
13,13646.jpg,13646_17755_bald.jpg
14,14371.jpg,14371_29278_bald.jpg
15,15904.jpg,15904_2535_bald.jpg
16,12887.jpg,12887_18738_bald.jpg
17,13394.jpg,13394_7314_bald.jpg
18,17090.jpg,17090_4814_bald.jpg
19,12077.jpg,12077_5617_bald.jpg
