,Original_img,Transformed_img
0,18342.jpg,18342_22679_eye_g.jpg
1,23212.jpg,23212_1565_eye_g.jpg
2,11856.jpg,11856_6513_eye_g.jpg
3,6840.jpg,6840_6425_eye_g.jpg
4,13262.jpg,13262_25268_eye_g.jpg
5,26018.jpg,26018_26327_eye_g.jpg
6,7962.jpg,7962_18103_eye_g.jpg
7,23187.jpg,23187_28509_eye_g.jpg
8,3329.jpg,3329_6114_eye_g.jpg
9,13455.jpg,13455_25349_eye_g.jpg
10,17989.jpg,17989_4015_eye_g.jpg
11,29682.jpg,29682_17721_eye_g.jpg
12,15354.jpg,15354_18785_eye_g.jpg
13,15746.jpg,15746_17507_eye_g.jpg
14,11870.jpg,11870_4333_eye_g.jpg
15,7058.jpg,7058_21720_eye_g.jpg
16,14987.jpg,14987_27477_eye_g.jpg
