,Original_img,Transformed_img
0,12326.jpg,12326_14843_smile.jpg
1,7320.jpg,7320_14843_smile.jpg
2,11398.jpg,11398_4855_smile.jpg
3,26633.jpg,26633_1317_smile.jpg
4,7581.jpg,7581_24849_smile.jpg
5,21820.jpg,21820_12950_smile.jpg
6,20123.jpg,20123_16929_smile.jpg
7,15364.jpg,15364_1317_smile.jpg
8,1652.jpg,1652_23035_smile.jpg
9,3119.jpg,3119_3834_smile.jpg
10,22445.jpg,22445_12991_smile.jpg
11,20459.jpg,20459_14843_smile.jpg
12,13684.jpg,13684_1317_smile.jpg
13,11440.jpg,11440_16237_smile.jpg
14,16438.jpg,16438_26670_smile.jpg
15,11949.jpg,11949_9444_smile.jpg
16,5674.jpg,5674_21485_smile.jpg
17,27344.jpg,27344_16958_smile.jpg
