,file_name,Bald,Male
24424,24424.jpg,-1,-1
14334,14334.jpg,-1,-1
13387,13387.jpg,-1,-1
21063,21063.jpg,-1,-1
29359,29359.jpg,-1,-1
1870,1870.jpg,-1,-1
18059,18059.jpg,-1,-1
28329,28329.jpg,-1,-1
2277,2277.jpg,-1,-1
28792,28792.jpg,-1,-1
24881,24881.jpg,-1,-1
17780,17780.jpg,-1,-1
5622,5622.jpg,-1,-1
29820,29820.jpg,-1,1
3257,3257.jpg,-1,-1
19689,19689.jpg,-1,-1
19965,19965.jpg,-1,-1
23754,23754.jpg,-1,1
19595,19595.jpg,-1,1
8627,8627.jpg,-1,-1
17018,17018.jpg,-1,-1
25381,25381.jpg,-1,1
12483,12483.jpg,-1,1
23291,23291.jpg,-1,-1
14795,14795.jpg,-1,-1
2834,2834.jpg,-1,-1
20923,20923.jpg,-1,1
28532,28532.jpg,-1,-1
29949,29949.jpg,-1,1
13084,13084.jpg,-1,1
3294,3294.jpg,-1,-1
24341,24341.jpg,-1,1
2184,2184.jpg,-1,-1
3807,3807.jpg,-1,-1
9209,9209.jpg,-1,-1
10183,10183.jpg,-1,-1
24010,24010.jpg,-1,1
6488,6488.jpg,-1,-1
18577,18577.jpg,-1,1
18248,18248.jpg,-1,1
12730,12730.jpg,-1,-1
14354,14354.jpg,-1,-1
3967,3967.jpg,-1,-1
25469,25469.jpg,-1,-1
12040,12040.jpg,-1,1
26740,26740.jpg,-1,1
14430,14430.jpg,-1,-1
10935,10935.jpg,-1,-1
4252,4252.jpg,-1,-1
27982,27982.jpg,-1,1
242,242.jpg,-1,-1
13615,13615.jpg,-1,1
10920,10920.jpg,-1,-1
29670,29670.jpg,-1,-1
17127,17127.jpg,-1,-1
13577,13577.jpg,-1,1
7222,7222.jpg,-1,-1
17910,17910.jpg,-1,1
2222,2222.jpg,-1,-1
23486,23486.jpg,-1,1
26098,26098.jpg,-1,1
800,800.jpg,-1,-1
8651,8651.jpg,-1,1
29044,29044.jpg,-1,-1
10167,10167.jpg,-1,-1
10225,10225.jpg,-1,-1
12641,12641.jpg,-1,-1
8857,8857.jpg,-1,-1
8646,8646.jpg,-1,-1
25816,25816.jpg,-1,1
4394,4394.jpg,-1,-1
6102,6102.jpg,-1,-1
23817,23817.jpg,-1,1
3913,3913.jpg,-1,-1
10423,10423.jpg,-1,1
4470,4470.jpg,-1,1
10309,10309.jpg,-1,1
10646,10646.jpg,-1,-1
201,201.jpg,-1,-1
20950,20950.jpg,-1,-1
15003,15003.jpg,-1,1
13210,13210.jpg,-1,-1
28201,28201.jpg,-1,1
10110,10110.jpg,-1,1
2904,2904.jpg,-1,-1
8454,8454.jpg,-1,1
27158,27158.jpg,-1,-1
23292,23292.jpg,-1,-1
10815,10815.jpg,-1,1
2555,2555.jpg,-1,1
5586,5586.jpg,-1,-1
27017,27017.jpg,-1,1
18705,18705.jpg,-1,1
677,677.jpg,-1,1
12942,12942.jpg,-1,-1
1834,1834.jpg,-1,-1
5618,5618.jpg,-1,-1
25436,25436.jpg,-1,1
24596,24596.jpg,-1,1
7578,7578.jpg,-1,-1
