,file_name,Bangs
21729,21729.jpg,-1
28319,28319.jpg,-1
6633,6633.jpg,-1
7649,7649.jpg,-1
22162,22162.jpg,-1
903,903.jpg,-1
5375,5375.jpg,-1
16044,16044.jpg,-1
13363,13363.jpg,-1
9254,9254.jpg,-1
24550,24550.jpg,-1
3186,3186.jpg,-1
4895,4895.jpg,-1
14165,14165.jpg,-1
1382,1382.jpg,-1
21499,21499.jpg,-1
16472,16472.jpg,-1
2762,2762.jpg,-1
460,460.jpg,-1
25727,25727.jpg,-1
24123,24123.jpg,-1
22618,22618.jpg,-1
14491,14491.jpg,-1
3754,3754.jpg,-1
12146,12146.jpg,-1
7493,7493.jpg,-1
7700,7700.jpg,-1
9550,9550.jpg,-1
12449,12449.jpg,-1
14600,14600.jpg,-1
7942,7942.jpg,-1
24990,24990.jpg,-1
21257,21257.jpg,-1
25556,25556.jpg,-1
5157,5157.jpg,-1
23227,23227.jpg,-1
21277,21277.jpg,-1
10401,10401.jpg,-1
10607,10607.jpg,-1
19418,19418.jpg,-1
9527,9527.jpg,-1
23542,23542.jpg,-1
18887,18887.jpg,-1
18930,18930.jpg,-1
3797,3797.jpg,-1
10910,10910.jpg,-1
22736,22736.jpg,-1
16226,16226.jpg,-1
25339,25339.jpg,-1
15231,15231.jpg,-1
16814,16814.jpg,-1
24243,24243.jpg,-1
2121,2121.jpg,-1
5275,5275.jpg,-1
7191,7191.jpg,-1
6567,6567.jpg,-1
9772,9772.jpg,-1
16460,16460.jpg,-1
16324,16324.jpg,-1
15533,15533.jpg,-1
3115,3115.jpg,-1
1058,1058.jpg,-1
1071,1071.jpg,-1
21098,21098.jpg,-1
6605,6605.jpg,-1
20293,20293.jpg,-1
3928,3928.jpg,-1
22355,22355.jpg,-1
7768,7768.jpg,-1
9009,9009.jpg,-1
29704,29704.jpg,-1
1714,1714.jpg,-1
13283,13283.jpg,-1
11353,11353.jpg,-1
17787,17787.jpg,-1
25953,25953.jpg,-1
7363,7363.jpg,-1
26590,26590.jpg,-1
21735,21735.jpg,-1
1106,1106.jpg,-1
6217,6217.jpg,-1
4397,4397.jpg,-1
525,525.jpg,-1
12845,12845.jpg,-1
1918,1918.jpg,-1
26827,26827.jpg,-1
20622,20622.jpg,-1
11573,11573.jpg,-1
27554,27554.jpg,-1
14366,14366.jpg,-1
28457,28457.jpg,-1
177,177.jpg,-1
14383,14383.jpg,-1
4279,4279.jpg,-1
8831,8831.jpg,-1
15018,15018.jpg,-1
29985,29985.jpg,-1
10494,10494.jpg,-1
23658,23658.jpg,-1
25300,25300.jpg,-1
25140,25140.jpg,-1
21922,21922.jpg,-1
25139,25139.jpg,-1
8969,8969.jpg,-1
19458,19458.jpg,-1
5228,5228.jpg,-1
28918,28918.jpg,-1
24092,24092.jpg,-1
15991,15991.jpg,-1
23746,23746.jpg,-1
1635,1635.jpg,-1
13081,13081.jpg,-1
16331,16331.jpg,-1
27759,27759.jpg,-1
1336,1336.jpg,-1
5937,5937.jpg,-1
18608,18608.jpg,-1
13000,13000.jpg,-1
3873,3873.jpg,-1
17865,17865.jpg,-1
883,883.jpg,-1
2501,2501.jpg,-1
18964,18964.jpg,-1
20732,20732.jpg,-1
22536,22536.jpg,-1
21129,21129.jpg,-1
25332,25332.jpg,-1
6322,6322.jpg,-1
19823,19823.jpg,-1
3110,3110.jpg,-1
26194,26194.jpg,-1
13454,13454.jpg,-1
5289,5289.jpg,-1
28486,28486.jpg,-1
18364,18364.jpg,-1
23952,23952.jpg,-1
1264,1264.jpg,-1
26403,26403.jpg,-1
12027,12027.jpg,-1
1021,1021.jpg,-1
9287,9287.jpg,-1
6748,6748.jpg,-1
20892,20892.jpg,-1
15372,15372.jpg,-1
11647,11647.jpg,-1
13557,13557.jpg,-1
7438,7438.jpg,-1
3167,3167.jpg,-1
6410,6410.jpg,-1
29766,29766.jpg,-1
14856,14856.jpg,-1
9020,9020.jpg,-1
11866,11866.jpg,-1
1388,1388.jpg,-1
5954,5954.jpg,-1
8071,8071.jpg,-1
27919,27919.jpg,-1
23861,23861.jpg,-1
26263,26263.jpg,-1
17931,17931.jpg,-1
26372,26372.jpg,-1
17964,17964.jpg,-1
29503,29503.jpg,-1
23358,23358.jpg,-1
16576,16576.jpg,-1
16423,16423.jpg,-1
28386,28386.jpg,-1
1074,1074.jpg,-1
24777,24777.jpg,-1
22113,22113.jpg,-1
26427,26427.jpg,-1
26246,26246.jpg,-1
29984,29984.jpg,-1
5293,5293.jpg,-1
15291,15291.jpg,-1
3973,3973.jpg,-1
7075,7075.jpg,-1
17643,17643.jpg,-1
8580,8580.jpg,-1
2150,2150.jpg,-1
19884,19884.jpg,-1
13512,13512.jpg,-1
6907,6907.jpg,-1
7219,7219.jpg,-1
7566,7566.jpg,-1
20913,20913.jpg,-1
13154,13154.jpg,-1
5994,5994.jpg,-1
28026,28026.jpg,-1
13789,13789.jpg,-1
24482,24482.jpg,-1
1643,1643.jpg,-1
10061,10061.jpg,-1
5852,5852.jpg,-1
25687,25687.jpg,-1
3272,3272.jpg,-1
13770,13770.jpg,-1
3201,3201.jpg,-1
5824,5824.jpg,-1
26770,26770.jpg,-1
10976,10976.jpg,-1
23614,23614.jpg,-1
8258,8258.jpg,-1
20020,20020.jpg,-1
16936,16936.jpg,-1
18436,18436.jpg,-1
11515,11515.jpg,-1
16496,16496.jpg,-1
22152,22152.jpg,-1
10413,10413.jpg,-1
29460,29460.jpg,-1
22813,22813.jpg,-1
9548,9548.jpg,-1
15336,15336.jpg,-1
1656,1656.jpg,-1
27199,27199.jpg,-1
4992,4992.jpg,-1
3565,3565.jpg,-1
26754,26754.jpg,-1
16574,16574.jpg,-1
25286,25286.jpg,-1
22244,22244.jpg,-1
25945,25945.jpg,-1
3142,3142.jpg,-1
28182,28182.jpg,-1
22816,22816.jpg,-1
5651,5651.jpg,-1
3547,3547.jpg,-1
11340,11340.jpg,-1
1984,1984.jpg,-1
24272,24272.jpg,-1
13494,13494.jpg,-1
21284,21284.jpg,-1
25071,25071.jpg,-1
24305,24305.jpg,-1
23044,23044.jpg,-1
8537,8537.jpg,-1
20532,20532.jpg,-1
25091,25091.jpg,-1
26389,26389.jpg,-1
24444,24444.jpg,-1
1950,1950.jpg,-1
19456,19456.jpg,-1
16325,16325.jpg,-1
12299,12299.jpg,-1
7986,7986.jpg,-1
29846,29846.jpg,-1
28658,28658.jpg,-1
13210,13210.jpg,-1
9705,9705.jpg,-1
2807,2807.jpg,-1
27720,27720.jpg,-1
12685,12685.jpg,-1
2935,2935.jpg,-1
11486,11486.jpg,-1
16162,16162.jpg,-1
6177,6177.jpg,-1
27289,27289.jpg,-1
15389,15389.jpg,-1
29458,29458.jpg,-1
12925,12925.jpg,-1
15507,15507.jpg,-1
16405,16405.jpg,-1
29390,29390.jpg,-1
27916,27916.jpg,-1
5047,5047.jpg,-1
17112,17112.jpg,-1
13649,13649.jpg,-1
14265,14265.jpg,-1
7826,7826.jpg,-1
306,306.jpg,-1
8120,8120.jpg,-1
13558,13558.jpg,-1
16139,16139.jpg,-1
23440,23440.jpg,-1
20414,20414.jpg,-1
3515,3515.jpg,-1
785,785.jpg,-1
26955,26955.jpg,-1
14371,14371.jpg,-1
1516,1516.jpg,-1
17257,17257.jpg,-1
25641,25641.jpg,-1
23121,23121.jpg,-1
21704,21704.jpg,-1
7849,7849.jpg,-1
14098,14098.jpg,-1
3425,3425.jpg,-1
625,625.jpg,-1
11124,11124.jpg,-1
5072,5072.jpg,-1
17811,17811.jpg,-1
24733,24733.jpg,-1
5923,5923.jpg,-1
6127,6127.jpg,-1
23727,23727.jpg,-1
25983,25983.jpg,-1
6487,6487.jpg,-1
24230,24230.jpg,-1
10733,10733.jpg,-1
14921,14921.jpg,-1
24286,24286.jpg,-1
7458,7458.jpg,-1
18547,18547.jpg,-1
3103,3103.jpg,-1
5474,5474.jpg,-1
12662,12662.jpg,-1
20720,20720.jpg,-1
21429,21429.jpg,-1
19605,19605.jpg,-1
28495,28495.jpg,-1
7610,7610.jpg,-1
23590,23590.jpg,-1
15439,15439.jpg,-1
4215,4215.jpg,-1
11594,11594.jpg,-1
16428,16428.jpg,-1
19705,19705.jpg,-1
20004,20004.jpg,-1
1375,1375.jpg,-1
19228,19228.jpg,-1
23572,23572.jpg,-1
129,129.jpg,-1
682,682.jpg,-1
573,573.jpg,-1
22853,22853.jpg,-1
24356,24356.jpg,-1
13937,13937.jpg,-1
170,170.jpg,-1
20476,20476.jpg,-1
2534,2534.jpg,-1
26451,26451.jpg,-1
13491,13491.jpg,-1
16763,16763.jpg,-1
14452,14452.jpg,-1
13781,13781.jpg,-1
12707,12707.jpg,-1
135,135.jpg,-1
15790,15790.jpg,-1
29384,29384.jpg,-1
28973,28973.jpg,-1
5160,5160.jpg,-1
3693,3693.jpg,-1
3260,3260.jpg,-1
16252,16252.jpg,-1
6411,6411.jpg,-1
17828,17828.jpg,-1
24657,24657.jpg,-1
8300,8300.jpg,-1
6143,6143.jpg,-1
14432,14432.jpg,-1
8416,8416.jpg,-1
18,18.jpg,-1
11122,11122.jpg,-1
18540,18540.jpg,-1
1112,1112.jpg,-1
10289,10289.jpg,-1
6891,6891.jpg,-1
20549,20549.jpg,-1
851,851.jpg,-1
9420,9420.jpg,-1
13156,13156.jpg,-1
25297,25297.jpg,-1
14681,14681.jpg,-1
18490,18490.jpg,-1
10068,10068.jpg,-1
11165,11165.jpg,-1
21113,21113.jpg,-1
29497,29497.jpg,-1
18184,18184.jpg,-1
3081,3081.jpg,-1
18365,18365.jpg,-1
7290,7290.jpg,-1
26674,26674.jpg,-1
18842,18842.jpg,-1
15455,15455.jpg,-1
685,685.jpg,-1
13891,13891.jpg,-1
7202,7202.jpg,-1
9717,9717.jpg,-1
27805,27805.jpg,-1
13392,13392.jpg,-1
12978,12978.jpg,-1
180,180.jpg,-1
24056,24056.jpg,-1
20760,20760.jpg,-1
16578,16578.jpg,-1
64,64.jpg,-1
3428,3428.jpg,-1
7504,7504.jpg,-1
15751,15751.jpg,-1
3589,3589.jpg,-1
202,202.jpg,-1
3105,3105.jpg,-1
4528,4528.jpg,-1
22622,22622.jpg,-1
23892,23892.jpg,-1
23326,23326.jpg,-1
24454,24454.jpg,-1
17817,17817.jpg,-1
4898,4898.jpg,-1
22851,22851.jpg,-1
22694,22694.jpg,-1
3488,3488.jpg,-1
2179,2179.jpg,-1
11569,11569.jpg,-1
16111,16111.jpg,-1
4986,4986.jpg,-1
3209,3209.jpg,-1
11296,11296.jpg,-1
5984,5984.jpg,-1
1994,1994.jpg,-1
7227,7227.jpg,-1
10085,10085.jpg,-1
17245,17245.jpg,-1
17898,17898.jpg,-1
1631,1631.jpg,-1
28523,28523.jpg,-1
25187,25187.jpg,-1
26428,26428.jpg,-1
16329,16329.jpg,-1
2771,2771.jpg,-1
9277,9277.jpg,-1
19946,19946.jpg,-1
25138,25138.jpg,-1
3587,3587.jpg,-1
13060,13060.jpg,-1
15794,15794.jpg,-1
8179,8179.jpg,-1
25001,25001.jpg,-1
3071,3071.jpg,-1
27164,27164.jpg,-1
15398,15398.jpg,-1
3774,3774.jpg,-1
3028,3028.jpg,-1
16474,16474.jpg,-1
7490,7490.jpg,-1
21077,21077.jpg,-1
9635,9635.jpg,-1
10717,10717.jpg,-1
2310,2310.jpg,-1
24966,24966.jpg,-1
