,file_name,Black_Hair,Male
26514,26514.jpg,-1,1
1406,1406.jpg,-1,-1
8750,8750.jpg,-1,-1
7423,7423.jpg,-1,-1
28834,28834.jpg,-1,1
18107,18107.jpg,-1,-1
19483,19483.jpg,-1,-1
13813,13813.jpg,-1,-1
12681,12681.jpg,-1,1
21836,21836.jpg,-1,-1
7696,7696.jpg,-1,1
26911,26911.jpg,-1,-1
26027,26027.jpg,-1,1
3014,3014.jpg,-1,-1
28842,28842.jpg,-1,-1
14482,14482.jpg,-1,1
17999,17999.jpg,-1,-1
25585,25585.jpg,-1,-1
4521,4521.jpg,-1,1
14323,14323.jpg,-1,-1
26969,26969.jpg,-1,-1
634,634.jpg,-1,1
20547,20547.jpg,-1,-1
21585,21585.jpg,-1,-1
27186,27186.jpg,-1,-1
17829,17829.jpg,-1,-1
13766,13766.jpg,-1,-1
11147,11147.jpg,-1,-1
13926,13926.jpg,-1,-1
2132,2132.jpg,-1,-1
8185,8185.jpg,-1,-1
11689,11689.jpg,-1,1
22617,22617.jpg,-1,-1
10208,10208.jpg,-1,-1
27825,27825.jpg,-1,1
19047,19047.jpg,-1,-1
23021,23021.jpg,-1,-1
17719,17719.jpg,-1,1
13155,13155.jpg,-1,-1
2839,2839.jpg,-1,-1
22658,22658.jpg,-1,-1
27308,27308.jpg,-1,-1
2702,2702.jpg,-1,-1
22610,22610.jpg,-1,-1
12947,12947.jpg,-1,1
3307,3307.jpg,-1,-1
28743,28743.jpg,-1,1
18440,18440.jpg,-1,-1
19236,19236.jpg,-1,-1
1429,1429.jpg,-1,1
26272,26272.jpg,-1,1
8398,8398.jpg,-1,-1
2617,2617.jpg,-1,-1
20669,20669.jpg,-1,-1
29873,29873.jpg,-1,-1
12746,12746.jpg,-1,1
19724,19724.jpg,-1,1
28392,28392.jpg,-1,-1
13530,13530.jpg,-1,-1
26343,26343.jpg,-1,1
23067,23067.jpg,-1,-1
20822,20822.jpg,-1,-1
10440,10440.jpg,-1,1
13004,13004.jpg,-1,-1
15686,15686.jpg,-1,-1
29615,29615.jpg,-1,1
16055,16055.jpg,-1,-1
19372,19372.jpg,-1,-1
15034,15034.jpg,-1,1
15086,15086.jpg,-1,-1
26298,26298.jpg,-1,-1
17268,17268.jpg,-1,-1
6820,6820.jpg,-1,-1
24036,24036.jpg,-1,-1
23236,23236.jpg,-1,1
14084,14084.jpg,-1,1
12879,12879.jpg,-1,-1
27695,27695.jpg,-1,1
22107,22107.jpg,-1,-1
24513,24513.jpg,-1,-1
26066,26066.jpg,-1,-1
29243,29243.jpg,-1,1
20140,20140.jpg,-1,-1
15724,15724.jpg,-1,-1
5243,5243.jpg,-1,-1
28499,28499.jpg,-1,1
24342,24342.jpg,-1,-1
10120,10120.jpg,-1,-1
4180,4180.jpg,-1,-1
8772,8772.jpg,-1,-1
17618,17618.jpg,-1,-1
14136,14136.jpg,-1,-1
13847,13847.jpg,-1,-1
14315,14315.jpg,-1,1
17726,17726.jpg,-1,1
26468,26468.jpg,-1,-1
19344,19344.jpg,-1,-1
27941,27941.jpg,-1,-1
10586,10586.jpg,-1,-1
3142,3142.jpg,-1,-1
