,file_name,Black_Hair,Male
25566,25566.jpg,1,-1
28617,28617.jpg,1,-1
29453,29453.jpg,1,-1
5362,5362.jpg,1,1
8368,8368.jpg,1,1
27878,27878.jpg,1,-1
4139,4139.jpg,1,-1
2446,2446.jpg,1,-1
7808,7808.jpg,1,-1
26867,26867.jpg,1,-1
15123,15123.jpg,1,1
14385,14385.jpg,1,1
16504,16504.jpg,1,1
18088,18088.jpg,1,1
5717,5717.jpg,1,-1
20373,20373.jpg,1,-1
11850,11850.jpg,1,1
27761,27761.jpg,1,-1
24679,24679.jpg,1,-1
8979,8979.jpg,1,1
10518,10518.jpg,1,-1
10081,10081.jpg,1,-1
26204,26204.jpg,1,1
12163,12163.jpg,1,1
1051,1051.jpg,1,1
15553,15553.jpg,1,-1
12555,12555.jpg,1,-1
9980,9980.jpg,1,1
14664,14664.jpg,1,-1
3327,3327.jpg,1,1
12241,12241.jpg,1,-1
25375,25375.jpg,1,1
12990,12990.jpg,1,1
10034,10034.jpg,1,-1
8591,8591.jpg,1,1
5804,5804.jpg,1,-1
17122,17122.jpg,1,1
3989,3989.jpg,1,1
23279,23279.jpg,1,1
11193,11193.jpg,1,-1
15979,15979.jpg,1,1
12892,12892.jpg,1,1
27694,27694.jpg,1,-1
18017,18017.jpg,1,1
13438,13438.jpg,1,-1
26080,26080.jpg,1,-1
26574,26574.jpg,1,1
21142,21142.jpg,1,-1
28770,28770.jpg,1,-1
19833,19833.jpg,1,-1
4408,4408.jpg,1,1
6879,6879.jpg,1,1
19078,19078.jpg,1,1
4814,4814.jpg,1,-1
5617,5617.jpg,1,-1
13469,13469.jpg,1,1
2123,2123.jpg,1,-1
14516,14516.jpg,1,1
9762,9762.jpg,1,1
174,174.jpg,1,-1
11331,11331.jpg,1,1
2535,2535.jpg,1,1
17626,17626.jpg,1,1
312,312.jpg,1,-1
5720,5720.jpg,1,-1
4390,4390.jpg,1,-1
27772,27772.jpg,1,1
740,740.jpg,1,1
21895,21895.jpg,1,-1
10756,10756.jpg,1,1
19634,19634.jpg,1,1
19884,19884.jpg,1,1
29278,29278.jpg,1,1
7314,7314.jpg,1,1
9549,9549.jpg,1,-1
19651,19651.jpg,1,1
18738,18738.jpg,1,-1
26581,26581.jpg,1,1
23305,23305.jpg,1,1
26057,26057.jpg,1,-1
23193,23193.jpg,1,1
2585,2585.jpg,1,-1
17498,17498.jpg,1,-1
24668,24668.jpg,1,1
17825,17825.jpg,1,1
15110,15110.jpg,1,1
23620,23620.jpg,1,1
27213,27213.jpg,1,1
4863,4863.jpg,1,-1
22621,22621.jpg,1,-1
17755,17755.jpg,1,1
6389,6389.jpg,1,-1
11547,11547.jpg,1,1
4419,4419.jpg,1,1
4366,4366.jpg,1,-1
900,900.jpg,1,-1
8471,8471.jpg,1,1
14316,14316.jpg,1,1
3996,3996.jpg,1,1
10889,10889.jpg,1,1
