,file_name,Blond_Hair,Male
18360,18360.jpg,-1,1
5602,5602.jpg,-1,-1
25036,25036.jpg,-1,-1
6257,6257.jpg,-1,-1
28972,28972.jpg,-1,-1
17842,17842.jpg,-1,-1
5294,5294.jpg,-1,1
4851,4851.jpg,-1,1
26354,26354.jpg,-1,1
24474,24474.jpg,-1,1
6351,6351.jpg,-1,-1
18659,18659.jpg,-1,-1
1874,1874.jpg,-1,-1
23034,23034.jpg,-1,-1
5711,5711.jpg,-1,-1
12282,12282.jpg,-1,-1
10237,10237.jpg,-1,1
18606,18606.jpg,-1,1
11287,11287.jpg,-1,1
26700,26700.jpg,-1,-1
26860,26860.jpg,-1,1
19065,19065.jpg,-1,-1
4711,4711.jpg,-1,-1
27589,27589.jpg,-1,-1
25740,25740.jpg,-1,1
5401,5401.jpg,-1,1
9111,9111.jpg,-1,1
20878,20878.jpg,-1,-1
27966,27966.jpg,-1,1
21865,21865.jpg,-1,-1
26758,26758.jpg,-1,-1
3945,3945.jpg,-1,-1
6184,6184.jpg,-1,-1
22895,22895.jpg,-1,1
1482,1482.jpg,-1,-1
21968,21968.jpg,-1,1
27302,27302.jpg,-1,1
510,510.jpg,-1,-1
26132,26132.jpg,-1,1
6471,6471.jpg,-1,-1
21504,21504.jpg,-1,1
25377,25377.jpg,-1,1
16618,16618.jpg,-1,1
8611,8611.jpg,-1,-1
6776,6776.jpg,-1,-1
12854,12854.jpg,-1,1
22355,22355.jpg,-1,1
25548,25548.jpg,-1,-1
7790,7790.jpg,-1,-1
17443,17443.jpg,-1,1
17337,17337.jpg,-1,-1
3032,3032.jpg,-1,-1
14306,14306.jpg,-1,1
29342,29342.jpg,-1,1
29216,29216.jpg,-1,-1
2189,2189.jpg,-1,-1
28052,28052.jpg,-1,-1
3280,3280.jpg,-1,1
13332,13332.jpg,-1,1
27693,27693.jpg,-1,1
29499,29499.jpg,-1,1
19968,19968.jpg,-1,-1
9326,9326.jpg,-1,-1
26728,26728.jpg,-1,-1
7142,7142.jpg,-1,-1
8741,8741.jpg,-1,1
5604,5604.jpg,-1,-1
20681,20681.jpg,-1,1
1381,1381.jpg,-1,-1
17513,17513.jpg,-1,1
3003,3003.jpg,-1,-1
22013,22013.jpg,-1,-1
29241,29241.jpg,-1,-1
12097,12097.jpg,-1,-1
22077,22077.jpg,-1,1
11090,11090.jpg,-1,1
5785,5785.jpg,-1,-1
29201,29201.jpg,-1,1
15884,15884.jpg,-1,-1
12103,12103.jpg,-1,-1
17378,17378.jpg,-1,-1
10151,10151.jpg,-1,-1
7316,7316.jpg,-1,-1
18364,18364.jpg,-1,-1
2876,2876.jpg,-1,-1
14326,14326.jpg,-1,1
13445,13445.jpg,-1,1
14958,14958.jpg,-1,-1
6196,6196.jpg,-1,1
13998,13998.jpg,-1,-1
1998,1998.jpg,-1,-1
260,260.jpg,-1,-1
26102,26102.jpg,-1,-1
27813,27813.jpg,-1,1
18137,18137.jpg,-1,-1
17785,17785.jpg,-1,1
3935,3935.jpg,-1,-1
12677,12677.jpg,-1,1
24426,24426.jpg,-1,1
15517,15517.jpg,-1,1
