,file_name,Brown_Hair,Male
9560,9560.jpg,-1,1
3658,3658.jpg,-1,-1
8082,8082.jpg,-1,1
23984,23984.jpg,-1,1
22666,22666.jpg,-1,-1
8689,8689.jpg,-1,1
3247,3247.jpg,-1,-1
1809,1809.jpg,-1,-1
13004,13004.jpg,-1,-1
26906,26906.jpg,-1,1
1485,1485.jpg,-1,-1
16,16.jpg,-1,-1
459,459.jpg,-1,1
28447,28447.jpg,-1,1
28065,28065.jpg,-1,-1
5804,5804.jpg,-1,-1
19432,19432.jpg,-1,1
7307,7307.jpg,-1,-1
11261,11261.jpg,-1,1
28854,28854.jpg,-1,1
29333,29333.jpg,-1,-1
29847,29847.jpg,-1,-1
28365,28365.jpg,-1,1
3017,3017.jpg,-1,-1
17636,17636.jpg,-1,-1
4875,4875.jpg,-1,1
26329,26329.jpg,-1,1
17878,17878.jpg,-1,1
13727,13727.jpg,-1,1
28424,28424.jpg,-1,-1
9896,9896.jpg,-1,1
12718,12718.jpg,-1,-1
4998,4998.jpg,-1,-1
27971,27971.jpg,-1,-1
23520,23520.jpg,-1,1
19520,19520.jpg,-1,-1
4183,4183.jpg,-1,-1
1023,1023.jpg,-1,-1
593,593.jpg,-1,-1
29032,29032.jpg,-1,-1
17284,17284.jpg,-1,-1
16874,16874.jpg,-1,1
25229,25229.jpg,-1,1
9117,9117.jpg,-1,1
1144,1144.jpg,-1,1
8436,8436.jpg,-1,-1
15230,15230.jpg,-1,-1
16707,16707.jpg,-1,-1
19535,19535.jpg,-1,1
11625,11625.jpg,-1,-1
18409,18409.jpg,-1,-1
22790,22790.jpg,-1,-1
3518,3518.jpg,-1,1
8430,8430.jpg,-1,-1
11135,11135.jpg,-1,1
13834,13834.jpg,-1,1
18542,18542.jpg,-1,-1
6721,6721.jpg,-1,-1
28189,28189.jpg,-1,-1
2825,2825.jpg,-1,-1
27124,27124.jpg,-1,1
15849,15849.jpg,-1,1
7433,7433.jpg,-1,1
17622,17622.jpg,-1,-1
22705,22705.jpg,-1,-1
15080,15080.jpg,-1,-1
21412,21412.jpg,-1,1
8188,8188.jpg,-1,1
9096,9096.jpg,-1,-1
19913,19913.jpg,-1,1
17814,17814.jpg,-1,1
14230,14230.jpg,-1,-1
21835,21835.jpg,-1,1
12972,12972.jpg,-1,-1
13550,13550.jpg,-1,1
19891,19891.jpg,-1,1
27480,27480.jpg,-1,-1
15599,15599.jpg,-1,-1
19704,19704.jpg,-1,1
10843,10843.jpg,-1,-1
26476,26476.jpg,-1,1
29613,29613.jpg,-1,-1
21028,21028.jpg,-1,-1
19037,19037.jpg,-1,-1
3298,3298.jpg,-1,-1
16783,16783.jpg,-1,1
26888,26888.jpg,-1,1
25626,25626.jpg,-1,1
15187,15187.jpg,-1,-1
11093,11093.jpg,-1,-1
8340,8340.jpg,-1,-1
23196,23196.jpg,-1,-1
18169,18169.jpg,-1,-1
28358,28358.jpg,-1,-1
29936,29936.jpg,-1,-1
4054,4054.jpg,-1,-1
18334,18334.jpg,-1,-1
12468,12468.jpg,-1,-1
20360,20360.jpg,-1,-1
9379,9379.jpg,-1,-1
