,file_name,Brown_Hair,Male
16285,16285.jpg,1,-1
15518,15518.jpg,1,-1
19996,19996.jpg,1,-1
14574,14574.jpg,1,-1
26661,26661.jpg,1,-1
21787,21787.jpg,1,1
12070,12070.jpg,1,1
22399,22399.jpg,1,-1
7597,7597.jpg,1,1
14029,14029.jpg,1,-1
20547,20547.jpg,1,-1
1364,1364.jpg,1,-1
494,494.jpg,1,-1
9204,9204.jpg,1,-1
2646,2646.jpg,1,-1
20297,20297.jpg,1,-1
23487,23487.jpg,1,-1
28765,28765.jpg,1,1
10064,10064.jpg,1,-1
15748,15748.jpg,1,1
25748,25748.jpg,1,-1
7910,7910.jpg,1,1
18343,18343.jpg,1,-1
8181,8181.jpg,1,-1
10532,10532.jpg,1,-1
18846,18846.jpg,1,1
22566,22566.jpg,1,1
9129,9129.jpg,1,-1
2836,2836.jpg,1,1
25928,25928.jpg,1,1
26568,26568.jpg,1,-1
29122,29122.jpg,1,-1
19975,19975.jpg,1,1
3678,3678.jpg,1,-1
28192,28192.jpg,1,-1
22877,22877.jpg,1,1
12082,12082.jpg,1,-1
12623,12623.jpg,1,1
19179,19179.jpg,1,-1
29767,29767.jpg,1,-1
29999,29999.jpg,1,-1
3179,3179.jpg,1,-1
3345,3345.jpg,1,-1
23053,23053.jpg,1,-1
13788,13788.jpg,1,-1
4763,4763.jpg,1,-1
28600,28600.jpg,1,-1
6243,6243.jpg,1,-1
4282,4282.jpg,1,-1
19537,19537.jpg,1,1
18231,18231.jpg,1,1
29033,29033.jpg,1,-1
27083,27083.jpg,1,1
20395,20395.jpg,1,1
26651,26651.jpg,1,-1
23467,23467.jpg,1,-1
19206,19206.jpg,1,1
951,951.jpg,1,-1
25359,25359.jpg,1,1
6747,6747.jpg,1,-1
293,293.jpg,1,1
3503,3503.jpg,1,1
3638,3638.jpg,1,-1
14304,14304.jpg,1,1
24340,24340.jpg,1,-1
17929,17929.jpg,1,1
19401,19401.jpg,1,-1
28448,28448.jpg,1,-1
22578,22578.jpg,1,-1
15995,15995.jpg,1,-1
2035,2035.jpg,1,-1
10661,10661.jpg,1,-1
9288,9288.jpg,1,-1
4291,4291.jpg,1,1
10382,10382.jpg,1,-1
10799,10799.jpg,1,-1
27323,27323.jpg,1,1
28749,28749.jpg,1,-1
29866,29866.jpg,1,-1
10811,10811.jpg,1,1
19325,19325.jpg,1,-1
5203,5203.jpg,1,-1
582,582.jpg,1,1
13028,13028.jpg,1,-1
20406,20406.jpg,1,-1
22564,22564.jpg,1,-1
17017,17017.jpg,1,1
20719,20719.jpg,1,-1
11990,11990.jpg,1,-1
3663,3663.jpg,1,-1
2171,2171.jpg,1,-1
1190,1190.jpg,1,-1
17077,17077.jpg,1,-1
8108,8108.jpg,1,-1
15470,15470.jpg,1,-1
23700,23700.jpg,1,1
5926,5926.jpg,1,-1
3582,3582.jpg,1,-1
14080,14080.jpg,1,-1
17108,17108.jpg,1,1
