,file_name,Mouth_Slightly_Open,Male
6480,6480.jpg,1,-1
27902,27902.jpg,1,-1
3219,3219.jpg,1,-1
10179,10179.jpg,1,1
17409,17409.jpg,1,-1
3265,3265.jpg,1,-1
10189,10189.jpg,1,-1
12918,12918.jpg,1,-1
7242,7242.jpg,1,1
24980,24980.jpg,1,-1
206,206.jpg,1,-1
12333,12333.jpg,1,1
27327,27327.jpg,1,-1
16869,16869.jpg,1,1
9765,9765.jpg,1,-1
17362,17362.jpg,1,-1
6528,6528.jpg,1,-1
4810,4810.jpg,1,1
4433,4433.jpg,1,-1
14098,14098.jpg,1,1
17863,17863.jpg,1,-1
13007,13007.jpg,1,-1
11989,11989.jpg,1,1
8397,8397.jpg,1,-1
26473,26473.jpg,1,-1
20997,20997.jpg,1,1
1552,1552.jpg,1,-1
20150,20150.jpg,1,1
2217,2217.jpg,1,1
5026,5026.jpg,1,-1
25113,25113.jpg,1,1
8703,8703.jpg,1,-1
29043,29043.jpg,1,-1
8880,8880.jpg,1,-1
3568,3568.jpg,1,1
23627,23627.jpg,1,-1
12605,12605.jpg,1,1
7761,7761.jpg,1,-1
27865,27865.jpg,1,-1
20808,20808.jpg,1,-1
14993,14993.jpg,1,-1
16974,16974.jpg,1,-1
10526,10526.jpg,1,-1
11796,11796.jpg,1,-1
1927,1927.jpg,1,-1
25936,25936.jpg,1,-1
9738,9738.jpg,1,-1
11265,11265.jpg,1,-1
13911,13911.jpg,1,-1
15630,15630.jpg,1,-1
26191,26191.jpg,1,1
27398,27398.jpg,1,-1
29242,29242.jpg,1,-1
26594,26594.jpg,1,1
6303,6303.jpg,1,-1
12159,12159.jpg,1,-1
24194,24194.jpg,1,-1
9594,9594.jpg,1,-1
27300,27300.jpg,1,-1
22409,22409.jpg,1,-1
6570,6570.jpg,1,-1
23160,23160.jpg,1,-1
20183,20183.jpg,1,-1
29073,29073.jpg,1,1
1817,1817.jpg,1,1
27952,27952.jpg,1,1
875,875.jpg,1,-1
2979,2979.jpg,1,-1
29456,29456.jpg,1,-1
351,351.jpg,1,-1
18479,18479.jpg,1,-1
11833,11833.jpg,1,-1
5611,5611.jpg,1,-1
27473,27473.jpg,1,-1
8384,8384.jpg,1,-1
8571,8571.jpg,1,-1
2354,2354.jpg,1,-1
19341,19341.jpg,1,-1
24836,24836.jpg,1,-1
17195,17195.jpg,1,-1
8518,8518.jpg,1,-1
24345,24345.jpg,1,-1
13099,13099.jpg,1,-1
11486,11486.jpg,1,-1
13768,13768.jpg,1,-1
20674,20674.jpg,1,1
21517,21517.jpg,1,1
255,255.jpg,1,-1
8606,8606.jpg,1,1
16590,16590.jpg,1,-1
5452,5452.jpg,1,1
26819,26819.jpg,1,-1
15108,15108.jpg,1,1
13757,13757.jpg,1,1
19653,19653.jpg,1,-1
14642,14642.jpg,1,1
4654,4654.jpg,1,-1
21170,21170.jpg,1,1
13198,13198.jpg,1,-1
15627,15627.jpg,1,-1
