,file_name,Mouth_Slightly_Open,Male
2784,2784.jpg,1,-1
11698,11698.jpg,1,-1
12950,12950.jpg,1,-1
21582,21582.jpg,1,-1
27265,27265.jpg,1,-1
975,975.jpg,1,-1
16527,16527.jpg,1,-1
6642,6642.jpg,1,-1
28010,28010.jpg,1,1
6650,6650.jpg,1,1
28585,28585.jpg,1,1
13833,13833.jpg,1,-1
12786,12786.jpg,1,-1
7790,7790.jpg,1,-1
14642,14642.jpg,1,1
32,32.jpg,1,1
18852,18852.jpg,1,-1
6286,6286.jpg,1,-1
25902,25902.jpg,1,1
11882,11882.jpg,1,1
29163,29163.jpg,1,1
9756,9756.jpg,1,-1
29675,29675.jpg,1,1
26554,26554.jpg,1,-1
4913,4913.jpg,1,-1
21035,21035.jpg,1,1
18458,18458.jpg,1,-1
17555,17555.jpg,1,1
14267,14267.jpg,1,-1
5940,5940.jpg,1,-1
5493,5493.jpg,1,-1
11605,11605.jpg,1,-1
5158,5158.jpg,1,1
3763,3763.jpg,1,-1
24134,24134.jpg,1,-1
23543,23543.jpg,1,1
21988,21988.jpg,1,-1
12933,12933.jpg,1,-1
168,168.jpg,1,1
6972,6972.jpg,1,-1
17917,17917.jpg,1,-1
14127,14127.jpg,1,1
1935,1935.jpg,1,-1
2994,2994.jpg,1,-1
2851,2851.jpg,1,-1
15108,15108.jpg,1,1
941,941.jpg,1,-1
17593,17593.jpg,1,-1
13165,13165.jpg,1,-1
19182,19182.jpg,1,1
24803,24803.jpg,1,1
25491,25491.jpg,1,1
28208,28208.jpg,1,-1
5194,5194.jpg,1,-1
11134,11134.jpg,1,-1
19194,19194.jpg,1,1
5644,5644.jpg,1,-1
461,461.jpg,1,-1
22517,22517.jpg,1,-1
10402,10402.jpg,1,-1
5074,5074.jpg,1,1
15903,15903.jpg,1,-1
240,240.jpg,1,1
5482,5482.jpg,1,1
11996,11996.jpg,1,-1
3529,3529.jpg,1,1
5610,5610.jpg,1,-1
889,889.jpg,1,-1
6152,6152.jpg,1,1
5247,5247.jpg,1,-1
1415,1415.jpg,1,-1
15503,15503.jpg,1,1
21981,21981.jpg,1,1
26037,26037.jpg,1,-1
23875,23875.jpg,1,-1
4064,4064.jpg,1,-1
10711,10711.jpg,1,-1
10017,10017.jpg,1,-1
1520,1520.jpg,1,-1
12812,12812.jpg,1,-1
18218,18218.jpg,1,-1
20735,20735.jpg,1,1
14916,14916.jpg,1,1
27491,27491.jpg,1,1
12918,12918.jpg,1,-1
9352,9352.jpg,1,-1
13294,13294.jpg,1,-1
5909,5909.jpg,1,-1
15243,15243.jpg,1,1
29237,29237.jpg,1,-1
22288,22288.jpg,1,1
27583,27583.jpg,1,1
29221,29221.jpg,1,-1
7143,7143.jpg,1,-1
17921,17921.jpg,1,-1
11988,11988.jpg,1,-1
23887,23887.jpg,1,1
7392,7392.jpg,1,-1
18580,18580.jpg,1,-1
380,380.jpg,1,-1
