,file_name,Narrow_Eyes,Male
3284,3284.jpg,1,-1
13057,13057.jpg,1,-1
10482,10482.jpg,1,1
16221,16221.jpg,1,-1
2372,2372.jpg,1,-1
24544,24544.jpg,1,1
25725,25725.jpg,1,1
558,558.jpg,1,-1
18280,18280.jpg,1,1
3992,3992.jpg,1,-1
3237,3237.jpg,1,-1
11960,11960.jpg,1,-1
9381,9381.jpg,1,-1
11795,11795.jpg,1,-1
442,442.jpg,1,-1
12889,12889.jpg,1,1
24860,24860.jpg,1,-1
14104,14104.jpg,1,1
21212,21212.jpg,1,-1
28706,28706.jpg,1,-1
14852,14852.jpg,1,1
16225,16225.jpg,1,1
23546,23546.jpg,1,-1
19141,19141.jpg,1,1
23063,23063.jpg,1,1
9420,9420.jpg,1,-1
2026,2026.jpg,1,-1
14292,14292.jpg,1,-1
25176,25176.jpg,1,-1
18788,18788.jpg,1,1
29476,29476.jpg,1,-1
25407,25407.jpg,1,1
22957,22957.jpg,1,1
8751,8751.jpg,1,-1
8205,8205.jpg,1,-1
14210,14210.jpg,1,-1
13265,13265.jpg,1,-1
6449,6449.jpg,1,1
16340,16340.jpg,1,1
14820,14820.jpg,1,-1
9930,9930.jpg,1,1
15913,15913.jpg,1,-1
7548,7548.jpg,1,-1
25114,25114.jpg,1,1
11778,11778.jpg,1,1
21185,21185.jpg,1,1
15309,15309.jpg,1,-1
15915,15915.jpg,1,-1
6251,6251.jpg,1,1
5331,5331.jpg,1,-1
23208,23208.jpg,1,-1
9570,9570.jpg,1,-1
29114,29114.jpg,1,-1
8881,8881.jpg,1,-1
17689,17689.jpg,1,1
28840,28840.jpg,1,-1
25030,25030.jpg,1,1
3469,3469.jpg,1,-1
1569,1569.jpg,1,-1
3754,3754.jpg,1,-1
15398,15398.jpg,1,1
26636,26636.jpg,1,-1
12676,12676.jpg,1,1
22175,22175.jpg,1,-1
21342,21342.jpg,1,-1
21831,21831.jpg,1,1
22854,22854.jpg,1,-1
5332,5332.jpg,1,-1
28235,28235.jpg,1,-1
26653,26653.jpg,1,-1
15489,15489.jpg,1,1
15000,15000.jpg,1,1
14795,14795.jpg,1,-1
6870,6870.jpg,1,1
15608,15608.jpg,1,1
17511,17511.jpg,1,-1
5565,5565.jpg,1,1
13797,13797.jpg,1,1
13223,13223.jpg,1,1
23066,23066.jpg,1,-1
3356,3356.jpg,1,-1
26782,26782.jpg,1,1
10879,10879.jpg,1,-1
7957,7957.jpg,1,-1
17891,17891.jpg,1,-1
25694,25694.jpg,1,1
6896,6896.jpg,1,-1
20107,20107.jpg,1,-1
21594,21594.jpg,1,-1
7685,7685.jpg,1,1
26898,26898.jpg,1,-1
25601,25601.jpg,1,-1
28532,28532.jpg,1,-1
19692,19692.jpg,1,-1
7162,7162.jpg,1,1
21838,21838.jpg,1,1
25875,25875.jpg,1,-1
26571,26571.jpg,1,1
6811,6811.jpg,1,-1
22970,22970.jpg,1,-1
