,file_name,No_Beard,Male
5117,5117.jpg,1,-1
7651,7651.jpg,1,-1
1896,1896.jpg,1,-1
12065,12065.jpg,1,-1
17600,17600.jpg,1,1
3669,3669.jpg,1,-1
6039,6039.jpg,1,-1
27788,27788.jpg,1,-1
25333,25333.jpg,1,-1
24083,24083.jpg,1,-1
12373,12373.jpg,1,-1
27289,27289.jpg,1,-1
6193,6193.jpg,1,-1
11580,11580.jpg,1,1
4020,4020.jpg,1,-1
28292,28292.jpg,1,1
9551,9551.jpg,1,1
19134,19134.jpg,1,-1
7660,7660.jpg,1,1
12657,12657.jpg,1,-1
20752,20752.jpg,1,-1
19034,19034.jpg,1,-1
16249,16249.jpg,1,1
6465,6465.jpg,1,-1
26624,26624.jpg,1,1
11963,11963.jpg,1,-1
2293,2293.jpg,1,-1
14496,14496.jpg,1,-1
14443,14443.jpg,1,1
10926,10926.jpg,1,1
11220,11220.jpg,1,1
19957,19957.jpg,1,-1
11757,11757.jpg,1,1
1573,1573.jpg,1,-1
29449,29449.jpg,1,1
29480,29480.jpg,1,-1
22577,22577.jpg,1,-1
10086,10086.jpg,1,-1
8450,8450.jpg,1,-1
27277,27277.jpg,1,1
2840,2840.jpg,1,-1
17165,17165.jpg,1,-1
6776,6776.jpg,1,-1
23454,23454.jpg,1,-1
18169,18169.jpg,1,-1
10171,10171.jpg,1,-1
26797,26797.jpg,1,1
22350,22350.jpg,1,1
6667,6667.jpg,1,1
912,912.jpg,1,-1
20670,20670.jpg,1,-1
7993,7993.jpg,1,-1
20146,20146.jpg,1,1
12026,12026.jpg,1,-1
29915,29915.jpg,1,-1
19030,19030.jpg,1,-1
27787,27787.jpg,1,-1
19801,19801.jpg,1,-1
17628,17628.jpg,1,-1
9254,9254.jpg,1,-1
14212,14212.jpg,1,-1
20296,20296.jpg,1,-1
3002,3002.jpg,1,-1
15215,15215.jpg,1,-1
23576,23576.jpg,1,1
4291,4291.jpg,1,1
7402,7402.jpg,1,-1
8804,8804.jpg,1,-1
3062,3062.jpg,1,-1
13263,13263.jpg,1,-1
13331,13331.jpg,1,1
542,542.jpg,1,-1
6880,6880.jpg,1,-1
27471,27471.jpg,1,-1
1580,1580.jpg,1,-1
18500,18500.jpg,1,1
15302,15302.jpg,1,-1
6827,6827.jpg,1,-1
4616,4616.jpg,1,-1
562,562.jpg,1,-1
10237,10237.jpg,1,1
18717,18717.jpg,1,-1
17308,17308.jpg,1,-1
28283,28283.jpg,1,1
26607,26607.jpg,1,-1
987,987.jpg,1,-1
8786,8786.jpg,1,-1
2241,2241.jpg,1,-1
14044,14044.jpg,1,-1
586,586.jpg,1,-1
20992,20992.jpg,1,-1
17829,17829.jpg,1,-1
17601,17601.jpg,1,-1
19405,19405.jpg,1,-1
10711,10711.jpg,1,-1
13936,13936.jpg,1,1
2469,2469.jpg,1,1
15989,15989.jpg,1,-1
23592,23592.jpg,1,1
24105,24105.jpg,1,-1
