,file_name,Receding_Hairline,Male
28994,28994.jpg,1,1
1830,1830.jpg,1,1
15610,15610.jpg,1,1
14463,14463.jpg,1,1
625,625.jpg,1,-1
15964,15964.jpg,1,1
12618,12618.jpg,1,1
14294,14294.jpg,1,1
1597,1597.jpg,1,-1
13606,13606.jpg,1,-1
5114,5114.jpg,1,1
6408,6408.jpg,1,-1
17470,17470.jpg,1,1
16460,16460.jpg,1,1
25413,25413.jpg,1,1
26164,26164.jpg,1,-1
8448,8448.jpg,1,-1
5911,5911.jpg,1,1
19420,19420.jpg,1,1
28632,28632.jpg,1,1
28148,28148.jpg,1,1
8620,8620.jpg,1,-1
7226,7226.jpg,1,-1
4812,4812.jpg,1,1
3685,3685.jpg,1,-1
26755,26755.jpg,1,-1
9023,9023.jpg,1,1
27665,27665.jpg,1,-1
11031,11031.jpg,1,1
14232,14232.jpg,1,-1
18146,18146.jpg,1,1
843,843.jpg,1,-1
12125,12125.jpg,1,-1
15489,15489.jpg,1,1
5634,5634.jpg,1,1
3469,3469.jpg,1,-1
4141,4141.jpg,1,1
15501,15501.jpg,1,-1
2727,2727.jpg,1,1
11010,11010.jpg,1,1
6692,6692.jpg,1,-1
400,400.jpg,1,1
408,408.jpg,1,1
8379,8379.jpg,1,1
15161,15161.jpg,1,-1
20445,20445.jpg,1,1
29267,29267.jpg,1,-1
751,751.jpg,1,-1
25772,25772.jpg,1,1
8083,8083.jpg,1,1
20412,20412.jpg,1,-1
8762,8762.jpg,1,-1
16251,16251.jpg,1,1
15631,15631.jpg,1,1
12551,12551.jpg,1,1
27070,27070.jpg,1,1
2267,2267.jpg,1,-1
13819,13819.jpg,1,1
14834,14834.jpg,1,-1
28808,28808.jpg,1,-1
9364,9364.jpg,1,1
28824,28824.jpg,1,1
4363,4363.jpg,1,1
24499,24499.jpg,1,1
25884,25884.jpg,1,1
13347,13347.jpg,1,1
13515,13515.jpg,1,-1
11722,11722.jpg,1,1
14674,14674.jpg,1,1
5476,5476.jpg,1,-1
2784,2784.jpg,1,-1
6049,6049.jpg,1,-1
17578,17578.jpg,1,1
10883,10883.jpg,1,1
16470,16470.jpg,1,-1
17156,17156.jpg,1,-1
12375,12375.jpg,1,1
19268,19268.jpg,1,1
7571,7571.jpg,1,-1
4860,4860.jpg,1,-1
18095,18095.jpg,1,-1
9101,9101.jpg,1,1
4428,4428.jpg,1,1
25613,25613.jpg,1,-1
27972,27972.jpg,1,1
19539,19539.jpg,1,1
22031,22031.jpg,1,1
12294,12294.jpg,1,-1
28960,28960.jpg,1,1
20526,20526.jpg,1,1
21898,21898.jpg,1,1
25071,25071.jpg,1,1
5220,5220.jpg,1,1
9316,9316.jpg,1,1
19345,19345.jpg,1,-1
2983,2983.jpg,1,-1
16845,16845.jpg,1,1
158,158.jpg,1,-1
1761,1761.jpg,1,-1
18945,18945.jpg,1,-1
