,file_name,Straight_Hair,Male
16753,16753.jpg,1,1
26822,26822.jpg,1,-1
19397,19397.jpg,1,-1
25725,25725.jpg,1,1
19584,19584.jpg,1,1
9020,9020.jpg,1,-1
26419,26419.jpg,1,-1
7594,7594.jpg,1,-1
8413,8413.jpg,1,-1
3721,3721.jpg,1,-1
12691,12691.jpg,1,1
199,199.jpg,1,-1
28315,28315.jpg,1,1
107,107.jpg,1,-1
15058,15058.jpg,1,1
9571,9571.jpg,1,-1
25134,25134.jpg,1,-1
27205,27205.jpg,1,1
13613,13613.jpg,1,-1
24650,24650.jpg,1,-1
23103,23103.jpg,1,1
15029,15029.jpg,1,-1
4038,4038.jpg,1,-1
10314,10314.jpg,1,-1
28543,28543.jpg,1,1
3566,3566.jpg,1,-1
3092,3092.jpg,1,-1
16715,16715.jpg,1,-1
12635,12635.jpg,1,-1
29810,29810.jpg,1,-1
29769,29769.jpg,1,1
5948,5948.jpg,1,-1
27306,27306.jpg,1,-1
14905,14905.jpg,1,1
18536,18536.jpg,1,-1
21395,21395.jpg,1,1
27257,27257.jpg,1,-1
8988,8988.jpg,1,1
16767,16767.jpg,1,-1
1342,1342.jpg,1,1
16898,16898.jpg,1,1
26305,26305.jpg,1,1
19564,19564.jpg,1,1
12793,12793.jpg,1,1
7837,7837.jpg,1,-1
16814,16814.jpg,1,-1
13561,13561.jpg,1,-1
7364,7364.jpg,1,1
8404,8404.jpg,1,1
8643,8643.jpg,1,-1
2930,2930.jpg,1,1
11639,11639.jpg,1,-1
29411,29411.jpg,1,1
10086,10086.jpg,1,-1
1514,1514.jpg,1,-1
24398,24398.jpg,1,-1
12591,12591.jpg,1,-1
5637,5637.jpg,1,1
11255,11255.jpg,1,1
22207,22207.jpg,1,1
5686,5686.jpg,1,-1
11901,11901.jpg,1,1
9400,9400.jpg,1,-1
24677,24677.jpg,1,1
24345,24345.jpg,1,-1
19382,19382.jpg,1,-1
19913,19913.jpg,1,1
29948,29948.jpg,1,-1
18268,18268.jpg,1,-1
12049,12049.jpg,1,1
8519,8519.jpg,1,-1
19229,19229.jpg,1,1
12470,12470.jpg,1,-1
17533,17533.jpg,1,1
28056,28056.jpg,1,1
12800,12800.jpg,1,1
12,12.jpg,1,-1
8390,8390.jpg,1,-1
7345,7345.jpg,1,-1
25561,25561.jpg,1,-1
293,293.jpg,1,1
6864,6864.jpg,1,-1
11741,11741.jpg,1,1
9895,9895.jpg,1,-1
1198,1198.jpg,1,1
15768,15768.jpg,1,-1
19544,19544.jpg,1,-1
17855,17855.jpg,1,-1
1312,1312.jpg,1,1
6620,6620.jpg,1,-1
17250,17250.jpg,1,1
20156,20156.jpg,1,1
3862,3862.jpg,1,-1
18367,18367.jpg,1,1
9694,9694.jpg,1,1
26945,26945.jpg,1,-1
578,578.jpg,1,-1
6672,6672.jpg,1,-1
20082,20082.jpg,1,1
25955,25955.jpg,1,1
