,file_name,Wavy_Hair,Male
27838,27838.jpg,-1,-1
18444,18444.jpg,-1,-1
8959,8959.jpg,-1,-1
28324,28324.jpg,-1,1
17220,17220.jpg,-1,-1
25416,25416.jpg,-1,-1
24284,24284.jpg,-1,1
8176,8176.jpg,-1,-1
6950,6950.jpg,-1,-1
7798,7798.jpg,-1,-1
660,660.jpg,-1,-1
11628,11628.jpg,-1,-1
16179,16179.jpg,-1,1
25493,25493.jpg,-1,1
14597,14597.jpg,-1,1
17991,17991.jpg,-1,-1
20940,20940.jpg,-1,-1
6558,6558.jpg,-1,-1
11478,11478.jpg,-1,-1
3894,3894.jpg,-1,-1
26935,26935.jpg,-1,-1
24845,24845.jpg,-1,1
855,855.jpg,-1,1
22426,22426.jpg,-1,-1
8418,8418.jpg,-1,-1
19040,19040.jpg,-1,-1
6699,6699.jpg,-1,-1
17319,17319.jpg,-1,1
9591,9591.jpg,-1,1
18300,18300.jpg,-1,-1
8295,8295.jpg,-1,-1
10662,10662.jpg,-1,-1
19470,19470.jpg,-1,-1
13396,13396.jpg,-1,-1
3952,3952.jpg,-1,1
23212,23212.jpg,-1,1
21988,21988.jpg,-1,-1
26212,26212.jpg,-1,1
16668,16668.jpg,-1,1
8305,8305.jpg,-1,-1
27151,27151.jpg,-1,1
20980,20980.jpg,-1,-1
17021,17021.jpg,-1,1
23704,23704.jpg,-1,1
429,429.jpg,-1,-1
2451,2451.jpg,-1,-1
25358,25358.jpg,-1,-1
3018,3018.jpg,-1,-1
1593,1593.jpg,-1,-1
9865,9865.jpg,-1,1
22364,22364.jpg,-1,1
1038,1038.jpg,-1,1
23333,23333.jpg,-1,-1
5600,5600.jpg,-1,1
16394,16394.jpg,-1,-1
22463,22463.jpg,-1,-1
26514,26514.jpg,-1,1
15327,15327.jpg,-1,-1
8137,8137.jpg,-1,-1
14437,14437.jpg,-1,1
18770,18770.jpg,-1,1
9919,9919.jpg,-1,1
26303,26303.jpg,-1,1
22993,22993.jpg,-1,-1
17968,17968.jpg,-1,1
1662,1662.jpg,-1,1
934,934.jpg,-1,1
19811,19811.jpg,-1,-1
10068,10068.jpg,-1,-1
9574,9574.jpg,-1,1
16980,16980.jpg,-1,-1
23035,23035.jpg,-1,-1
22624,22624.jpg,-1,1
22581,22581.jpg,-1,1
25570,25570.jpg,-1,-1
15319,15319.jpg,-1,1
5984,5984.jpg,-1,1
1198,1198.jpg,-1,1
18722,18722.jpg,-1,-1
10443,10443.jpg,-1,-1
9766,9766.jpg,-1,1
5086,5086.jpg,-1,-1
4146,4146.jpg,-1,1
3019,3019.jpg,-1,-1
3261,3261.jpg,-1,1
13880,13880.jpg,-1,-1
25682,25682.jpg,-1,1
24009,24009.jpg,-1,1
26515,26515.jpg,-1,1
11084,11084.jpg,-1,1
3810,3810.jpg,-1,1
24425,24425.jpg,-1,1
12474,12474.jpg,-1,-1
2860,2860.jpg,-1,-1
12316,12316.jpg,-1,1
1983,1983.jpg,-1,1
11057,11057.jpg,-1,1
3157,3157.jpg,-1,-1
20914,20914.jpg,-1,1
18404,18404.jpg,-1,-1
