,file_name,Wavy_Hair,Male
28363,28363.jpg,1,-1
13341,13341.jpg,1,1
7378,7378.jpg,1,-1
10939,10939.jpg,1,-1
1120,1120.jpg,1,-1
14872,14872.jpg,1,-1
7297,7297.jpg,1,1
9630,9630.jpg,1,1
1521,1521.jpg,1,-1
21252,21252.jpg,1,1
1998,1998.jpg,1,-1
12175,12175.jpg,1,-1
16343,16343.jpg,1,1
10182,10182.jpg,1,-1
7227,7227.jpg,1,1
22515,22515.jpg,1,-1
11060,11060.jpg,1,-1
7466,7466.jpg,1,-1
5850,5850.jpg,1,-1
14683,14683.jpg,1,-1
24857,24857.jpg,1,1
7217,7217.jpg,1,-1
14290,14290.jpg,1,-1
268,268.jpg,1,-1
4612,4612.jpg,1,-1
15116,15116.jpg,1,-1
6846,6846.jpg,1,-1
28610,28610.jpg,1,-1
17340,17340.jpg,1,1
15069,15069.jpg,1,-1
14266,14266.jpg,1,-1
18400,18400.jpg,1,-1
16375,16375.jpg,1,-1
11779,11779.jpg,1,-1
8693,8693.jpg,1,-1
16559,16559.jpg,1,-1
26028,26028.jpg,1,-1
26430,26430.jpg,1,-1
12103,12103.jpg,1,-1
12699,12699.jpg,1,-1
11803,11803.jpg,1,-1
18468,18468.jpg,1,-1
7413,7413.jpg,1,-1
13864,13864.jpg,1,-1
4153,4153.jpg,1,-1
14817,14817.jpg,1,1
1852,1852.jpg,1,-1
8414,8414.jpg,1,-1
29906,29906.jpg,1,-1
5916,5916.jpg,1,-1
20939,20939.jpg,1,-1
6182,6182.jpg,1,-1
28930,28930.jpg,1,-1
23824,23824.jpg,1,-1
18685,18685.jpg,1,1
11512,11512.jpg,1,-1
28700,28700.jpg,1,-1
23251,23251.jpg,1,-1
28385,28385.jpg,1,-1
26314,26314.jpg,1,-1
20360,20360.jpg,1,-1
19830,19830.jpg,1,1
21980,21980.jpg,1,-1
24886,24886.jpg,1,-1
9935,9935.jpg,1,-1
9164,9164.jpg,1,1
19300,19300.jpg,1,1
23250,23250.jpg,1,-1
13585,13585.jpg,1,-1
23217,23217.jpg,1,1
2741,2741.jpg,1,-1
20243,20243.jpg,1,1
23228,23228.jpg,1,-1
20043,20043.jpg,1,1
10214,10214.jpg,1,-1
7957,7957.jpg,1,-1
23948,23948.jpg,1,-1
28561,28561.jpg,1,-1
21044,21044.jpg,1,-1
22162,22162.jpg,1,-1
26470,26470.jpg,1,-1
20326,20326.jpg,1,-1
22653,22653.jpg,1,-1
23612,23612.jpg,1,-1
15519,15519.jpg,1,-1
10550,10550.jpg,1,-1
6633,6633.jpg,1,-1
2326,2326.jpg,1,-1
9227,9227.jpg,1,-1
1005,1005.jpg,1,-1
25844,25844.jpg,1,-1
4714,4714.jpg,1,-1
7540,7540.jpg,1,-1
12584,12584.jpg,1,-1
24875,24875.jpg,1,-1
8005,8005.jpg,1,-1
14044,14044.jpg,1,-1
7434,7434.jpg,1,-1
26319,26319.jpg,1,-1
20521,20521.jpg,1,-1
