,file_name,Wearing_Hat,Male
8135,8135.jpg,-1,-1
20560,20560.jpg,-1,-1
15838,15838.jpg,-1,1
14190,14190.jpg,-1,1
15318,15318.jpg,-1,-1
21245,21245.jpg,-1,1
12422,12422.jpg,-1,1
10739,10739.jpg,-1,-1
28315,28315.jpg,-1,1
13412,13412.jpg,-1,1
26702,26702.jpg,-1,-1
16554,16554.jpg,-1,-1
406,406.jpg,-1,-1
41,41.jpg,-1,-1
27917,27917.jpg,-1,1
3932,3932.jpg,-1,-1
7860,7860.jpg,-1,-1
24648,24648.jpg,-1,-1
10724,10724.jpg,-1,1
24931,24931.jpg,-1,-1
8686,8686.jpg,-1,-1
13332,13332.jpg,-1,1
12276,12276.jpg,-1,1
20063,20063.jpg,-1,-1
3149,3149.jpg,-1,-1
23317,23317.jpg,-1,-1
12538,12538.jpg,-1,-1
25917,25917.jpg,-1,1
27586,27586.jpg,-1,-1
458,458.jpg,-1,-1
7263,7263.jpg,-1,-1
12225,12225.jpg,-1,-1
25540,25540.jpg,-1,1
75,75.jpg,-1,1
22868,22868.jpg,-1,-1
2335,2335.jpg,-1,-1
5692,5692.jpg,-1,-1
13926,13926.jpg,-1,-1
27947,27947.jpg,-1,-1
21054,21054.jpg,-1,1
25079,25079.jpg,-1,-1
8902,8902.jpg,-1,-1
4514,4514.jpg,-1,-1
20957,20957.jpg,-1,-1
6603,6603.jpg,-1,-1
18233,18233.jpg,-1,-1
29167,29167.jpg,-1,-1
22863,22863.jpg,-1,1
16198,16198.jpg,-1,1
15156,15156.jpg,-1,-1
26181,26181.jpg,-1,-1
27462,27462.jpg,-1,1
17277,17277.jpg,-1,1
12143,12143.jpg,-1,-1
2651,2651.jpg,-1,1
22633,22633.jpg,-1,-1
4497,4497.jpg,-1,-1
23188,23188.jpg,-1,-1
4763,4763.jpg,-1,-1
20422,20422.jpg,-1,-1
29934,29934.jpg,-1,-1
3934,3934.jpg,-1,-1
3741,3741.jpg,-1,-1
23519,23519.jpg,-1,1
7279,7279.jpg,-1,-1
12022,12022.jpg,-1,-1
10546,10546.jpg,-1,-1
28279,28279.jpg,-1,-1
11073,11073.jpg,-1,-1
2802,2802.jpg,-1,-1
25606,25606.jpg,-1,1
16888,16888.jpg,-1,-1
17895,17895.jpg,-1,1
4594,4594.jpg,-1,-1
21630,21630.jpg,-1,1
4478,4478.jpg,-1,-1
12654,12654.jpg,-1,1
29544,29544.jpg,-1,1
15669,15669.jpg,-1,-1
25370,25370.jpg,-1,1
27648,27648.jpg,-1,1
28954,28954.jpg,-1,-1
29991,29991.jpg,-1,1
29525,29525.jpg,-1,1
7783,7783.jpg,-1,-1
18021,18021.jpg,-1,-1
26162,26162.jpg,-1,1
24403,24403.jpg,-1,-1
27347,27347.jpg,-1,-1
17169,17169.jpg,-1,-1
10695,10695.jpg,-1,-1
24590,24590.jpg,-1,-1
24184,24184.jpg,-1,-1
10161,10161.jpg,-1,-1
28499,28499.jpg,-1,1
6814,6814.jpg,-1,-1
1867,1867.jpg,-1,-1
14055,14055.jpg,-1,-1
613,613.jpg,-1,-1
14580,14580.jpg,-1,1
