,file_name,Wearing_Hat
22389,22389.jpg,-1
11685,11685.jpg,-1
10724,10724.jpg,-1
26898,26898.jpg,-1
27556,27556.jpg,-1
2948,2948.jpg,-1
14182,14182.jpg,-1
29878,29878.jpg,-1
29548,29548.jpg,-1
28353,28353.jpg,-1
20925,20925.jpg,-1
28717,28717.jpg,-1
10659,10659.jpg,-1
24692,24692.jpg,-1
15488,15488.jpg,-1
24472,24472.jpg,-1
2505,2505.jpg,-1
24153,24153.jpg,-1
16983,16983.jpg,-1
2146,2146.jpg,-1
17022,17022.jpg,-1
4837,4837.jpg,-1
8043,8043.jpg,-1
12748,12748.jpg,-1
23657,23657.jpg,-1
17361,17361.jpg,-1
17888,17888.jpg,-1
5889,5889.jpg,-1
15429,15429.jpg,-1
5446,5446.jpg,-1
25832,25832.jpg,-1
4982,4982.jpg,-1
24963,24963.jpg,-1
18828,18828.jpg,-1
21179,21179.jpg,-1
5491,5491.jpg,-1
5856,5856.jpg,-1
5178,5178.jpg,-1
22688,22688.jpg,-1
14518,14518.jpg,-1
18311,18311.jpg,-1
25519,25519.jpg,-1
6435,6435.jpg,-1
24978,24978.jpg,-1
10628,10628.jpg,-1
19024,19024.jpg,-1
29469,29469.jpg,-1
13138,13138.jpg,-1
27238,27238.jpg,-1
10137,10137.jpg,-1
2717,2717.jpg,-1
10415,10415.jpg,-1
13936,13936.jpg,-1
25946,25946.jpg,-1
24552,24552.jpg,-1
6798,6798.jpg,-1
24471,24471.jpg,-1
1816,1816.jpg,-1
18822,18822.jpg,-1
28965,28965.jpg,-1
4400,4400.jpg,-1
9877,9877.jpg,-1
26420,26420.jpg,-1
533,533.jpg,-1
3776,3776.jpg,-1
7366,7366.jpg,-1
15395,15395.jpg,-1
24143,24143.jpg,-1
26610,26610.jpg,-1
4668,4668.jpg,-1
5365,5365.jpg,-1
9861,9861.jpg,-1
4408,4408.jpg,-1
15349,15349.jpg,-1
19265,19265.jpg,-1
29739,29739.jpg,-1
13937,13937.jpg,-1
4949,4949.jpg,-1
237,237.jpg,-1
1086,1086.jpg,-1
25170,25170.jpg,-1
7229,7229.jpg,-1
4893,4893.jpg,-1
